"Name","K","Kin","Kout","TypeI","TypeII"
"ANXA7",33,23,10,0,1
"TK1",60,39,21,0,1
"A2M",18,8,10,0,1
"ATF7IP",30,14,16,0,1
"H2AFX",15,10,5,0,1
"TNFRSF14",12,8,4,0,1
"MAP1LC3B",13,9,4,0,1
"RB1",81,61,20,0,1
"ABCA1",19,15,4,0,1
"CSNK2A1",45,29,16,0,1
"MPP6",7,6,1,0,1
"ABCF3",4,3,1,0,1
"HSPA8",24,12,12,0,1
"PAK2",18,11,7,0,1
"SOS2",11,7,4,0,1
"KRT15",13,11,2,0,1
"ATM",21,6,15,0,1
"CAV1",54,31,23,0,1
"CRK",50,29,21,0,1
"POLR2A",38,29,9,0,1
"PRKD1",21,16,5,0,1
"PTPN12",14,13,1,0,1
"ABL2",11,8,3,0,1
"ATXN1",52,30,22,0,1
"USP7",23,20,3,0,1
"APP",33,18,15,0,1
"YWHAG",127,94,33,0,1
"ACP1",4,3,1,0,1
"SPTAN1",7,3,4,0,1
"CFL1",12,8,4,0,1
"PFN1",12,7,5,0,1
"ACTB",53,33,20,0,1
"EMD",10,7,3,0,1
"FHL3",10,9,1,0,1
"PFDN1",12,7,5,0,1
"RCC1",12,9,3,0,1
"MYLK",27,23,4,0,1
"ACTG1",16,4,12,0,1
"DYNLL1",19,11,8,0,1
"MAPK6",66,38,28,0,1
"PDPK1",35,25,10,0,1
"PIP4K2C",7,3,4,0,1
"RPS6KA5",16,11,5,0,1
"ACTN1",28,20,8,0,1
"CDK5",23,18,5,0,1
"COIL",22,18,4,0,1
"CAMK2A",12,9,3,0,1
"ACTN4",11,9,2,0,1
"DCTN1",7,5,2,0,1
"CHD3",22,15,7,0,1
"CDC42",37,18,19,0,1
"ACVR1",40,23,17,0,1
"AP2B1",13,6,7,0,1
"NRAS",7,5,2,0,1
"RAP2A",11,6,5,0,1
"SYNJ2BP",6,2,4,0,1
"TGFB1",18,7,11,0,1
"TGFBR1",77,41,36,0,1
"TGFBR2",38,27,11,0,1
"ADAM10",12,10,2,0,1
"SH3D19",12,11,1,0,1
"ADAM15",5,3,2,0,1
"SH3GL2",7,5,2,0,1
"NOTCH1",15,12,3,0,1
"TNFSF11",16,11,5,0,1
"PCYT2",4,3,1,0,1
"FN1",63,45,18,0,1
"PRKCA",70,27,43,0,1
"RAF1",15,7,8,0,1
"ADM",6,4,2,0,1
"GNAZ",5,3,2,0,1
"EZR",6,4,2,0,1
"SLC9A3R2",11,3,8,0,1
"GNAO1",4,1,3,0,1
"ARRB1",9,4,5,0,1
"GRK5",12,8,4,0,1
"SLC9A3R1",13,5,8,0,1
"ADRBK1",13,3,10,0,1
"GIT1",23,14,9,0,1
"MAPK3",27,21,6,0,1
"PEBP1",12,10,2,0,1
"SRC",50,25,25,0,1
"PRKCE",19,10,9,0,1
"MLLT3",4,2,2,0,1
"CCNT1",14,13,1,0,1
"UBE3A",22,17,5,0,1
"CCDC85B",60,48,12,0,1
"CTSG",8,5,3,0,1
"ARNT",18,7,11,0,1
"ARNTL",12,3,9,0,1
"EP300",108,92,16,0,1
"NCOA1",47,26,21,0,1
"NCOA2",28,15,13,0,1
"SMARCA4",16,7,9,0,1
"AIP",6,5,1,0,1
"PRKAR2A",19,14,5,0,1
"AKAP10",11,6,5,0,1
"GSK3B",64,30,34,0,1
"KPNB1",34,22,12,0,1
"PRPF40A",43,29,14,0,1
"AKAP9",15,12,3,0,1
"PKN1",14,11,3,0,1
"AKT1",36,17,19,0,1
"BAD",19,10,9,0,1
"CHUK",29,14,15,0,1
"PPP2CA",14,9,5,0,1
"PTEN",21,15,6,0,1
"AKT2",9,5,4,0,1
"BCL2A1",5,3,2,0,1
"IGSF21",7,5,2,0,1
"XRN1",18,12,6,0,1
"SSSCA1",6,5,1,0,1
"TOM1L1",7,3,4,0,1
