"Name","K","Kin","Kout","TypeI","TypeII","Type"
"ANXA7",64,50,14,0,1,"coding"
"A2M",26,11,15,0,1,"coding"
"ATF7IP",94,77,17,0,1,"coding"
"CDKN1A",96,90,6,0,1,"coding"
"H2AFX",58,52,6,0,1,"coding"
"HMOX2",19,13,6,0,1,"coding"
"MYOC",15,5,10,0,1,"coding"
"TGFBI",20,17,3,0,1,"coding"
"TK1",81,59,22,0,1,"coding"
"MAP1LC3B",29,25,4,0,1,"coding"
"MDFI",47,41,6,0,1,"coding"
"RB1",133,112,21,0,1,"coding"
"ABCA1",63,57,6,0,1,"coding"
"CSNK2A1",146,123,23,0,1,"coding"
"FADD",25,20,5,0,1,"coding"
"MPP6",48,47,1,0,1,"coding"
"HAX1",16,13,3,0,1,"coding"
"RDX",55,51,4,0,1,"coding"
"STX1A",24,17,7,0,1,"coding"
"NCK2",34,29,5,0,1,"coding"
"WASF1",28,27,1,0,1,"coding"
"ABI3",7,6,1,0,1,"coding"
"ABL1",78,50,28,0,1,"coding"
"CAV1",99,73,26,0,1,"coding"
"CDK5",30,23,7,0,1,"coding"
"CRK",122,99,23,0,1,"coding"
"MAPT",52,46,6,0,1,"coding"
"POLR2A",75,66,9,0,1,"coding"
"PRKD1",37,32,5,0,1,"coding"
"PRKDC",62,55,7,0,1,"coding"
"PTPN12",38,37,1,0,1,"coding"
"RAN",99,86,13,0,1,"coding"
"XRCC6",57,46,11,0,1,"coding"
"YWHAE",92,84,8,0,1,"coding"
"VIM",95,71,24,0,1,"coding"
"FBLN1",15,12,3,0,1,"coding"
"USP7",38,34,4,0,1,"coding"
"YWHAG",179,146,33,0,1,"coding"
"CTNNB1",112,90,22,0,1,"coding"
"FYN",152,95,57,0,1,"coding"
"SPTAN1",28,20,8,0,1,"coding"
"MYLK",70,67,3,0,1,"coding"
"VASP",33,29,4,0,1,"coding"
"VCL",138,109,29,0,1,"coding"
"ACTB",120,97,23,0,1,"coding"
"CFL1",22,19,3,0,1,"coding"
"EMD",29,25,4,0,1,"coding"
"RCC1",38,32,6,0,1,"coding"
"DMD",59,55,4,0,1,"coding"
"DYNLL1",30,24,6,0,1,"coding"
"GSN",40,32,8,0,1,"coding"
"PDPK1",92,85,7,0,1,"coding"
"PIP4K2C",45,40,5,0,1,"coding"
"RPS6KA5",75,71,4,0,1,"coding"
"ACTN1",48,40,8,0,1,"coding"
"COIL",64,58,6,0,1,"coding"
"ZYX",30,27,3,0,1,"coding"
"CAMK2A",38,36,2,0,1,"coding"
"ACTN4",53,50,3,0,1,"coding"
"CHD3",45,32,13,0,1,"coding"
"DCTN1",15,13,2,0,1,"coding"
"CDC42",71,51,20,0,1,"coding"
"ACVR1",71,54,17,0,1,"coding"
"RAP2A",34,29,5,0,1,"coding"
"ACVR1B",69,66,3,0,1,"coding"
"ACVR2A",77,75,2,0,1,"coding"
"BMP6",11,10,1,0,1,"coding"
"BMP7",31,27,4,0,1,"coding"
"TGFB1",36,24,12,0,1,"coding"
"TGFB3",13,10,3,0,1,"coding"
"TGFBR1",133,95,38,0,1,"coding"
"TGFBR2",140,126,14,0,1,"coding"
"GRB2",102,64,38,0,1,"coding"
"SH3D19",65,63,2,0,1,"coding"
"NOTCH1",60,55,5,0,1,"coding"
"TNFSF11",25,19,6,0,1,"coding"
"FN1",99,80,19,0,1,"coding"
"PRKCA",126,69,57,0,1,"coding"
"RAF1",44,35,9,0,1,"coding"
"ADCYAP1",27,26,1,0,1,"coding"
"CALM1",97,90,7,0,1,"coding"
"PRKCD",51,34,17,0,1,"coding"
"APPL1",52,46,6,0,1,"coding"
